Date,Activos,Ocupados,Parados,Actividad(%),Paro(%)
2001-08-10,18164.0,16294.3,1869.7,53.22,10.29
2001-08-11,18164.0,16294.3,1869.7,53.22,10.29
2001-08-12,18164.0,16294.3,1869.7,53.22,10.29
2001-08-13,18164.0,16294.3,1869.7,53.22,10.29
2001-08-14,18164.0,16294.3,1869.7,53.22,10.29
2001-08-15,18164.0,16294.3,1869.7,53.22,10.29
2001-08-16,18164.0,16294.3,1869.7,53.22,10.29
2001-08-17,18164.0,16294.3,1869.7,53.22,10.29
2001-08-18,18164.0,16294.3,1869.7,53.22,10.29
2001-08-19,18164.0,16294.3,1869.7,53.22,10.29
2001-08-20,18164.0,16294.3,1869.7,53.22,10.29
2001-08-21,18164.0,16294.3,1869.7,53.22,10.29
2001-08-22,18164.0,16294.3,1869.7,53.22,10.29
2001-08-23,18164.0,16294.3,1869.7,53.22,10.29
2001-08-24,18164.0,16294.3,1869.7,53.22,10.29
2001-08-25,18164.0,16294.3,1869.7,53.22,10.29
2001-08-26,18164.0,16294.3,1869.7,53.22,10.29
2001-08-27,18164.0,16294.3,1869.7,53.22,10.29
2001-08-28,18164.0,16294.3,1869.7,53.22,10.29
2001-08-29,18164.0,16294.3,1869.7,53.22,10.29
2001-08-30,18164.0,16294.3,1869.7,53.22,10.29
2001-08-31,18164.0,16294.3,1869.7,53.22,10.29
2001-09-01,18164.0,16294.3,1869.7,53.22,10.29
2001-09-02,18164.0,16294.3,1869.7,53.22,10.29
2001-09-03,18164.0,16294.3,1869.7,53.22,10.29
2001-09-04,18164.0,16294.3,1869.7,53.22,10.29
2001-09-05,18164.0,16294.3,1869.7,53.22,10.29
2001-09-06,18164.0,16294.3,1869.7,53.22,10.29
2001-09-07,18164.0,16294.3,1869.7,53.22,10.29
2001-09-08,18164.0,16294.3,1869.7,53.22,10.29
2001-09-09,18164.0,16294.3,1869.7,53.22,10.29
2001-09-10,18164.0,16294.3,1869.7,53.22,10.29
2001-09-11,18164.0,16294.3,1869.7,53.22,10.29
2001-09-12,18164.0,16294.3,1869.7,53.22,10.29
2001-09-13,18164.0,16294.3,1869.7,53.22,10.29
2001-09-14,18164.0,16294.3,1869.7,53.22,10.29
2001-09-15,18164.0,16294.3,1869.7,53.22,10.29
2001-09-16,18164.0,16294.3,1869.7,53.22,10.29
2001-09-17,18164.0,16294.3,1869.7,53.22,10.29
2001-09-18,18164.0,16294.3,1869.7,53.22,10.29
2001-09-19,18164.0,16294.3,1869.7,53.22,10.29
2001-09-20,18164.0,16294.3,1869.7,53.22,10.29
2001-09-21,18164.0,16294.3,1869.7,53.22,10.29
2001-09-22,18164.0,16294.3,1869.7,53.22,10.29
2001-09-23,18164.0,16294.3,1869.7,53.22,10.29
2001-09-24,18164.0,16294.3,1869.7,53.22,10.29
2001-09-25,18164.0,16294.3,1869.7,53.22,10.29
2001-09-26,18164.0,16294.3,1869.7,53.22,10.29
2001-09-27,18164.0,16294.3,1869.7,53.22,10.29
2001-09-28,18164.0,16294.3,1869.7,53.22,10.29
2001-09-29,18164.0,16294.3,1869.7,53.22,10.29
2001-09-30,18164.0,16294.3,1869.7,53.22,10.29
2001-10-01,18292.0,16348.2,1943.8,53.41,10.63
2001-10-02,18292.0,16348.2,1943.8,53.41,10.63
2001-10-03,18292.0,16348.2,1943.8,53.41,10.63
2001-10-04,18292.0,16348.2,1943.8,53.41,10.63
2001-10-05,18292.0,16348.2,1943.8,53.41,10.63
2001-10-06,18292.0,16348.2,1943.8,53.41,10.63
2001-10-07,18292.0,16348.2,1943.8,53.41,10.63
2001-10-08,18292.0,16348.2,1943.8,53.41,10.63
2001-10-09,18292.0,16348.2,1943.8,53.41,10.63
2001-10-10,18292.0,16348.2,1943.8,53.41,10.63
2001-10-11,18292.0,16348.2,1943.8,53.41,10.63
2001-10-12,18292.0,16348.2,1943.8,53.41,10.63
2001-10-13,18292.0,16348.2,1943.8,53.41,10.63
2001-10-14,18292.0,16348.2,1943.8,53.41,10.63
2001-10-15,18292.0,16348.2,1943.8,53.41,10.63
2001-10-16,18292.0,16348.2,1943.8,53.41,10.63
2001-10-17,18292.0,16348.2,1943.8,53.41,10.63
