Date,Actividad(%),Activos,AdjClose,Births,Close,Close_DJ,Debt,Debt_per_capita,Defunciones,Euribor,GDP_Value,High_DJ,High_EURO,High_y,IPC,Low_DJ,Low_EURO,Low_y,Ocupados,Open_DJ,Open_EURO,Open_y,Parados,Paro(%),Percentage,Price_EURO
2008-10-15,60.35,23262.1,9706.790039,1420.0,9706.799805,8577.91,387382.0,8424.0,7.047,5.2478,-1.6272,9278.25,1.3685,10200.200195,0.3,8516.5,1.3453,9594.0,20055.3,9145.24,1.362,10143.799805,3206.8,13.79,34.93,1.346
2008-10-16,60.35,23262.1,9308.19043,1420.0,9308.200195,8979.26,387382.0,8424.0,7.047,5.2478,-1.6272,9073.64,1.3539,9700.0,0.3,8176.17,1.3346,9146.599609,20055.3,8622.51,1.3467,9305.299805,3206.8,13.79,34.93,1.3487
2008-10-17,60.35,23262.1,9655.19043,1420.0,9655.200195,8852.22,387382.0,8424.0,7.047,5.2478,-1.6272,9304.38,1.3518,9800.700195,0.3,8640.83,1.3387,9345.200195,20055.3,8751.38,1.3483,9799.299805,3206.8,13.79,34.93,1.3409
2008-10-20,60.35,23262.1,9944.290039,1420.0,9944.299805,9265.43,387382.0,8424.0,6.846,5.2478,-1.6272,9305.89,1.3532,9944.299805,0.3,8799.49,1.3286,9758.5,20055.3,8990.17,1.3403,9900.700195,3206.8,13.79,34.93,1.3344
2008-10-21,60.35,23262.1,9794.990234,1420.0,9795.0,9033.66,387382.0,8424.0,6.846,5.2478,-1.6272,9380.12,1.3355,10105.099609,0.3,8929.16,1.3051,9716.900391,20055.3,9167.38,1.3332,10105.099609,3206.8,13.79,34.93,1.3059
2008-10-22,60.35,23262.1,8995.291016,1420.0,8995.299805,8519.21,387382.0,8424.0,6.846,5.2478,-1.6272,8939.99,1.3078,9594.5,0.3,8324.07,1.2773,8927.5,20055.3,8821.63,1.3065,9584.099609,3206.8,13.79,34.93,1.2854
2008-10-23,60.35,23262.1,8811.191406,1420.0,8811.200195,8691.25,387382.0,8424.0,6.846,5.2478,-1.6272,8864.48,1.3003,9046.0,0.3,8200.06,1.2727,8419.200195,20055.3,8584.76,1.2828,9007.900391,3206.8,13.79,34.93,1.298
2008-10-24,60.35,23262.1,8353.191406,1420.0,8353.200195,8378.95,387382.0,8424.0,6.846,5.2478,-1.6272,8654.93,1.298,8496.599609,0.3,8088.63,1.2498,7991.899902,20055.3,8186.52,1.2973,8445.0,3206.8,13.79,34.93,1.2624
2008-10-27,60.35,23262.1,8009.891602,1420.0,8009.899902,8175.77,387382.0,8424.0,7.199,5.2478,-1.6272,8639.64,1.2686,8186.799805,0.3,8085.37,1.2333,7737.200195,20055.3,8259.24,1.2549,7977.0,3206.8,13.79,34.93,1.2467
2008-10-28,60.35,23262.1,7905.39209,1420.0,7905.399902,9065.12,387382.0,8424.0,7.199,5.2478,-1.6272,9112.51,1.2744,8244.700195,0.3,8153.79,1.233,7820.100098,20055.3,8401.65,1.2475,8221.400391,3206.8,13.79,34.93,1.2715
2008-10-29,60.35,23262.1,8650.09082,1420.0,8650.099609,8990.96,387382.0,8424.0,7.199,5.2478,-1.6272,9405.05,1.2994,8650.099609,0.3,8800.61,1.2627,8260.299805,20055.3,9047.83,1.2768,8376.299805,3206.8,13.79,34.93,1.2963
2008-10-30,60.35,23262.1,8822.891602,1420.0,8822.900391,9180.69,387382.0,8424.0,7.199,5.2478,-1.6272,9380.36,1.3295,8964.5,0.3,8916.81,1.2803,8695.0,20055.3,9237.71,1.2965,8812.700195,3206.8,13.79,34.93,1.2908
2008-10-31,60.35,23262.1,9115.991211,1420.0,9116.0,9325.01,387382.0,8424.0,7.199,5.2478,-1.6272,9498.48,1.2897,9137.700195,0.3,9014.78,1.2668,8686.599609,20055.3,9186.98,1.2855,8843.299805,3206.8,13.79,34.93,1.2733
