Date,Total_debt,Debt_GDP_percentage,Debt_per_capita
1994-10-02,249508.0,58.68,6294.0
1994-10-03,249508.0,58.68,6294.0
1994-10-04,249508.0,58.68,6294.0
1994-10-05,249508.0,58.68,6294.0
1994-10-06,249508.0,58.68,6294.0
1994-10-07,249508.0,58.68,6294.0
1994-10-08,249508.0,58.68,6294.0
1994-10-09,249508.0,58.68,6294.0
1994-10-10,249508.0,58.68,6294.0
1994-10-11,249508.0,58.68,6294.0
1994-10-12,249508.0,58.68,6294.0
1994-10-13,249508.0,58.68,6294.0
1994-10-14,249508.0,58.68,6294.0
1994-10-15,249508.0,58.68,6294.0
1994-10-16,249508.0,58.68,6294.0
1994-10-17,249508.0,58.68,6294.0
1994-10-18,249508.0,58.68,6294.0
1994-10-19,249508.0,58.68,6294.0
1994-10-20,249508.0,58.68,6294.0
1994-10-21,249508.0,58.68,6294.0
1994-10-22,249508.0,58.68,6294.0
1994-10-23,249508.0,58.68,6294.0
1994-10-24,249508.0,58.68,6294.0
1994-10-25,249508.0,58.68,6294.0
1994-10-26,249508.0,58.68,6294.0
1994-10-27,249508.0,58.68,6294.0
1994-10-28,249508.0,58.68,6294.0
1994-10-29,249508.0,58.68,6294.0
1994-10-30,249508.0,58.68,6294.0
1994-10-31,249508.0,58.68,6294.0
1994-11-01,249508.0,58.68,6294.0
1994-11-02,249508.0,58.68,6294.0
1994-11-03,249508.0,58.68,6294.0
1994-11-04,249508.0,58.68,6294.0
1994-11-05,249508.0,58.68,6294.0
1994-11-06,249508.0,58.68,6294.0
1994-11-07,249508.0,58.68,6294.0
1994-11-08,249508.0,58.68,6294.0
1994-11-09,249508.0,58.68,6294.0
1994-11-10,249508.0,58.68,6294.0
1994-11-11,249508.0,58.68,6294.0
1994-11-12,249508.0,58.68,6294.0
1994-11-13,249508.0,58.68,6294.0
1994-11-14,249508.0,58.68,6294.0
1994-11-15,249508.0,58.68,6294.0
1994-11-16,249508.0,58.68,6294.0
1994-11-17,249508.0,58.68,6294.0
1994-11-18,249508.0,58.68,6294.0
1994-11-19,249508.0,58.68,6294.0
1994-11-20,249508.0,58.68,6294.0
1994-11-21,249508.0,58.68,6294.0
1994-11-22,249508.0,58.68,6294.0
1994-11-23,249508.0,58.68,6294.0
