Date,EUR_Price,EUR_Open,EUR_High,EUR_Low
2018-04-08,1.2283,1.224,1.2292,1.2214
2018-04-09,1.2321,1.2279,1.2331,1.2261
2018-04-10,1.2356,1.232,1.2379,1.2303
2018-04-11,1.2367,1.2357,1.2397,1.2347
2018-04-12,1.2327,1.2368,1.2382,1.23
2018-04-13,1.2331,1.2327,1.2348,1.2307
2018-04-14,1.2331,1.2327,1.2348,1.2307
2018-04-15,1.2331,1.2327,1.2348,1.2307
2018-04-16,1.238,1.233,1.2395,1.2325
2018-04-17,1.237,1.2378,1.2413,1.2335
2018-04-18,1.2373,1.2369,1.2398,1.2343
2018-04-19,1.2346,1.2373,1.2402,1.2329
2018-04-20,1.2288,1.2346,1.2354,1.225
2018-04-21,1.2288,1.2346,1.2354,1.225
2018-04-22,1.2288,1.2346,1.2354,1.225
2018-04-23,1.2209,1.2289,1.2292,1.2198
2018-04-24,1.2232,1.2209,1.2247,1.2182
2018-04-25,1.2161,1.2232,1.224,1.216
2018-04-26,1.2103,1.2161,1.2211,1.2096
2018-04-27,1.213,1.2105,1.2135,1.2055
2018-04-28,1.213,1.2105,1.2135,1.2055
2018-04-29,1.213,1.2105,1.2135,1.2055
2018-04-30,1.2079,1.2125,1.2141,1.2064
2018-05-01,1.1993,1.2076,1.2086,1.1981
2018-05-02,1.1951,1.1992,1.2033,1.1938
2018-05-03,1.1988,1.1951,1.2009,1.1946
2018-05-04,1.196,1.1989,1.1997,1.1911
2018-05-05,1.196,1.1989,1.1997,1.1911
2018-05-06,1.196,1.1989,1.1997,1.1911
2018-05-07,1.1922,1.1953,1.198,1.1898
2018-05-08,1.1864,1.1924,1.1941,1.1838
2018-05-09,1.185,1.1863,1.1898,1.1822
2018-05-10,1.1915,1.1852,1.1948,1.1843
2018-05-11,1.1944,1.1917,1.197,1.1891
2018-05-12,1.1944,1.1917,1.197,1.1891
2018-05-13,1.1944,1.1917,1.197,1.1891
2018-05-14,1.1927,1.1947,1.1998,1.1926
2018-05-15,1.1838,1.1925,1.1939,1.1817
2018-05-16,1.1807,1.1837,1.1854,1.1762
2018-05-17,1.1795,1.1808,1.1839,1.1775
2018-05-18,1.1778,1.1796,1.1825,1.1749
2018-05-19,1.1778,1.1796,1.1825,1.1749
2018-05-20,1.1778,1.1796,1.1825,1.1749
2018-05-21,1.1791,1.1764,1.1797,1.1717
2018-05-22,1.1779,1.1792,1.183,1.1754
2018-05-23,1.1697,1.1778,1.179,1.1675
2018-05-24,1.172,1.1695,1.175,1.1688
2018-05-25,1.1652,1.172,1.1735,1.1645
2018-05-26,1.1652,1.172,1.1735,1.1645
2018-05-27,1.1652,1.172,1.1735,1.1645
2018-05-28,1.1623,1.1651,1.1729,1.1605
2018-05-29,1.154,1.1625,1.1641,1.1508
2018-05-30,1.1663,1.154,1.1678,1.1518
2018-05-31,1.1692,1.1665,1.1726,1.1641
2018-06-01,1.1661,1.1691,1.1718,1.1617
2018-06-02,1.1661,1.1691,1.1718,1.1617
2018-06-03,1.1661,1.1691,1.1718,1.1617
2018-06-04,1.1699,1.1656,1.1744,1.1652
2018-06-05,1.1718,1.1698,1.1733,1.1652
2018-06-06,1.1773,1.1717,1.1797,1.1708
2018-06-07,1.1799,1.1774,1.1842,1.1772
2018-06-08,1.1768,1.18,1.1812,1.1726
2018-06-09,1.1768,1.18,1.1812,1.1726
2018-06-10,1.1768,1.18,1.1812,1.1726
2018-06-11,1.1784,1.1766,1.1822,1.1754
2018-06-12,1.1745,1.1784,1.1811,1.1733
2018-06-13,1.1791,1.1745,1.1803,1.1725
2018-06-14,1.1569,1.1791,1.1853,1.1562
2018-06-15,1.1609,1.1568,1.1629,1.1543
2018-06-16,1.1609,1.1568,1.1629,1.1543
2018-06-17,1.1609,1.1568,1.1629,1.1543
2018-06-18,1.1623,1.1609,1.1625,1.1563
2018-06-19,1.159,1.1624,1.1646,1.153
2018-06-20,1.1572,1.159,1.1602,1.1537
2018-06-21,1.1603,1.1572,1.1635,1.1509
2018-06-22,1.1657,1.1604,1.1677,1.16
2018-06-23,1.1657,1.1604,1.1677,1.16
2018-06-24,1.1657,1.1604,1.1677,1.16
2018-06-25,1.1704,1.1659,1.1715,1.1627
2018-06-26,1.1647,1.1704,1.1722,1.1635
2018-06-27,1.1554,1.1647,1.1674,1.1541
2018-06-28,1.1569,1.1555,1.1602,1.1527
2018-06-29,1.1685,1.1569,1.1692,1.1558
2018-06-30,1.1685,1.1569,1.1692,1.1558
2018-07-01,1.1685,1.1569,1.1692,1.1558
2018-07-02,1.1641,1.1651,1.1699,1.159
2018-07-03,1.1657,1.1641,1.1675,1.1621
2018-07-04,1.1656,1.1658,1.1684,1.1629
2018-07-05,1.1691,1.1655,1.1722,1.1649
2018-07-06,1.1747,1.169,1.1769,1.1679
2018-07-07,1.1747,1.169,1.1769,1.1679
2018-07-08,1.1747,1.169,1.1769,1.1679
2018-07-09,1.1751,1.1748,1.1792,1.1731
2018-07-10,1.1744,1.1751,1.1764,1.169
2018-07-11,1.1674,1.1745,1.176,1.1665
2018-07-12,1.1672,1.1674,1.1697,1.1648
2018-07-13,1.1685,1.1669,1.1688,1.161
2018-07-14,1.1685,1.1669,1.1688,1.161
2018-07-15,1.1685,1.1669,1.1688,1.161
2018-07-16,1.171,1.1676,1.1726,1.1674
2018-07-17,1.1661,1.1711,1.1746,1.165
2018-07-18,1.1639,1.166,1.1665,1.1601
2018-07-19,1.1643,1.1639,1.168,1.1574
2018-07-20,1.172,1.1644,1.174,1.1626
2018-07-21,1.172,1.1644,1.174,1.1626
2018-07-22,1.172,1.1644,1.174,1.1626
2018-07-23,1.1692,1.173,1.1752,1.1682
2018-07-24,1.1686,1.1692,1.1719,1.1654
2018-07-25,1.1728,1.1684,1.1739,1.1663
2018-07-26,1.1643,1.1728,1.1744,1.1639
2018-07-27,1.1658,1.1643,1.1665,1.1621
2018-07-28,1.1658,1.1643,1.1665,1.1621
2018-07-29,1.1658,1.1643,1.1665,1.1621
2018-07-30,1.1706,1.166,1.1721,1.1648
2018-07-31,1.1691,1.1706,1.1745,1.1682
2018-08-01,1.166,1.1691,1.1701,1.1656
2018-08-02,1.1584,1.166,1.1669,1.1582
2018-08-03,1.1567,1.1583,1.1611,1.1559
2018-08-04,1.1567,1.1583,1.1611,1.1559
2018-08-05,1.1567,1.1583,1.1611,1.1559
2018-08-06,1.1554,1.1571,1.1574,1.1527
2018-08-07,1.1599,1.1555,1.161,1.1547
2018-08-08,1.1611,1.1598,1.1629,1.1571
2018-08-09,1.1527,1.1609,1.162,1.1525
2018-08-10,1.1411,1.1526,1.1537,1.1384
2018-08-11,1.1411,1.1526,1.1537,1.1384
2018-08-12,1.1411,1.1526,1.1537,1.1384
2018-08-13,1.1409,1.1389,1.1434,1.1364
2018-08-14,1.1344,1.141,1.1431,1.133
2018-08-15,1.1345,1.1344,1.1357,1.1299
2018-08-16,1.1377,1.1345,1.1411,1.1335
2018-08-17,1.1439,1.1377,1.1447,1.1365
2018-08-18,1.1439,1.1377,1.1447,1.1365
2018-08-19,1.1439,1.1377,1.1447,1.1365
2018-08-20,1.1481,1.1442,1.1486,1.1394
2018-08-21,1.1571,1.1482,1.1602,1.1479
2018-08-22,1.1597,1.157,1.1624,1.1551
2018-08-23,1.1539,1.1596,1.1601,1.153
2018-08-24,1.1623,1.154,1.1641,1.1533
2018-08-25,1.1623,1.154,1.1641,1.1533
