Date,Euribor,IPC,Price_EURO,Open_EURO,High_EURO,Low_EURO,Defunciones,Debt,Percentage,Debt_per_capita,Activos,Ocupados,Parados,Actividad(%),Paro(%),GDP_Value, Open_DJ, High_DJ, Low_DJ, Close_DJ,Open_y,High_y,Low_y,Close,AdjClose,Volume
2003-05-21,2.2521,-0.1,1.1636,1.1712,1.1747,1.1633,6.75,385294.0,50.55,9211 ,19639.2,17423.2,2216.0,55.65,11.28,0.5271,8485.62,8577.64,8389.68,8516.43,6302.5,6308.600098,6177.799805,6198.899902,6198.893555,137200
2003-05-22,2.2521,-0.1,1.1697,1.1641,1.1732,1.1619,6.75,385294.0,50.55,9211 ,19639.2,17423.2,2216.0,55.65,11.28,0.5271,8516.99,8650.33,8495.35,8594.02,6252.899902,6317.899902,6214.299805,6317.899902,6317.893555,109000
2003-05-23,2.2521,-0.1,1.1838,1.1696,1.184,1.1667,6.75,385294.0,50.55,9211 ,19639.2,17423.2,2216.0,55.65,11.28,0.5271,8594.02,8668.46,8513.98,8601.38,6346.700195,6377.100098,6287.0,6346.200195,6346.193848,96800
2003-05-27,2.2521,-0.1,1.1812,1.1864,1.1934,1.1812,6.914,385294.0,50.55,9211 ,19639.2,17423.2,2216.0,55.65,11.28,0.5271,8600.54,8812.3,8523.64,8781.35,6332.700195,6379.100098,6252.0,6363.600098,6363.59375,90600
2003-05-28,2.2521,-0.1,1.1766,1.1816,1.185,1.1707,6.914,385294.0,50.55,9211 ,19639.2,17423.2,2216.0,55.65,11.28,0.5271,8781.84,8885.34,8721.9,8793.12,6413.299805,6476.5,6402.600098,6472.899902,6472.893555,153400
2003-05-29,2.2521,-0.1,1.19,1.1754,1.1909,1.1692,6.914,385294.0,50.55,9211 ,19639.2,17423.2,2216.0,55.65,11.28,0.5271,8787.23,8895.99,8657.96,8711.18,6442.600098,6532.600098,6439.299805,6483.0,6482.993652,108400
2003-05-30,2.2521,-0.1,1.1787,1.1902,1.1918,1.1739,6.914,385294.0,50.55,9211 ,19639.2,17423.2,2216.0,55.65,11.28,0.5271,8711.46,8897.04,8725.54,8850.26,6470.200195,6558.5,6438.700195,6508.5,6508.493164,154000
2003-06-02,2.0137,0.1,1.1765,1.1714,1.1771,1.1653,6.805,389134.0,50.19,9222 ,19639.2,17423.2,2216.0,55.65,11.28,0.5271,8851.45,9040.46,8833.66,8897.81,6551.5,6618.700195,6542.399902,6595.399902,6595.393066,135200
2003-06-03,2.0137,0.1,1.1729,1.176,1.1783,1.1687,6.805,389134.0,50.19,9222 ,19639.2,17423.2,2216.0,55.65,11.28,0.5271,8898.23,8973.02,8823.51,8922.95,6526.399902,6562.899902,6491.700195,6562.899902,6562.893066,126400
2003-06-04,2.0137,0.1,1.1643,1.1735,1.1752,1.1636,6.805,389134.0,50.19,9222 ,19639.2,17423.2,2216.0,55.65,11.28,0.5271,8919.94,9076.94,8882.75,9038.98,6593.600098,6658.0,6561.600098,6637.700195,6637.693359,144000
2003-06-05,2.0137,0.1,1.1843,1.1643,1.1891,1.1628,6.805,389134.0,50.19,9222 ,19639.2,17423.2,2216.0,55.65,11.28,0.5271,9036.67,9106.7,8905.37,9041.3,6658.399902,6679.399902,6563.5,6591.100098,6591.093262,136600
2003-06-06,2.0137,0.1,1.17,1.1842,1.1882,1.1685,6.805,389134.0,50.19,9222 ,19639.2,17423.2,2216.0,55.65,11.28,0.5271,9045.57,9248.71,9008.87,9062.79,6622.299805,6728.700195,6622.200195,6717.700195,6717.693359,144400
2003-06-09,2.0137,0.1,1.1714,1.1713,1.1791,1.1659,7.69,389134.0,50.19,9222 ,19639.2,17423.2,2216.0,55.65,11.28,0.5271,9061.18,9109.43,8909.78,8980.0,6672.299805,6703.700195,6635.5,6670.100098,6670.093262,74400
2003-06-10,2.0137,0.1,1.1673,1.1719,1.1743,1.1668,7.69,389134.0,50.19,9222 ,19639.2,17423.2,2216.0,55.65,11.28,0.5271,8980.79,9111.11,8946.06,9054.89,6642.799805,6726.700195,6635.100098,6696.799805,6696.792969,110000
2003-06-11,2.0137,0.1,1.1753,1.167,1.1785,1.1661,7.69,389134.0,50.19,9222 ,19639.2,17423.2,2216.0,55.65,11.28,0.5271,9048.85,9202.08,9010.13,9183.22,6721.299805,6791.200195,6676.899902,6791.200195,6791.193359,144400
