Date,Actividad(%),Activos,AdjClose,Births,Close,Close_DJ,Debt_per_capita,Defunciones,Euribor,GDP_Value,High,High_DJ,High_EUR,IPC,Low,Low_DJ,Low_EUR,Ocupados,Open,Open_DJ,Open_EUR,Parados,Paro(%),Percentage,Price_EUR,Total_debt
2005-07-14,57.86,21205.6,9965.19043,1277.0,9965.200195,10628.89,8941.0,1061.0,2.168,0.9675,9996.400391,10696.96,1.2127,-0.6,9944.099609,10560.82,1.2056,19422.1,9949.200195,10559.86,1.2083,1783.5,8.41,42.4,1.2083,393479.0
2005-07-15,57.86,21205.6,9943.790039,1277.0,9943.799805,10640.83,8941.0,1061.0,2.168,0.9675,9983.5,10698.07,1.214,-0.6,9920.5,10559.46,1.2012,19422.1,9961.099609,10629.44,1.2085,1783.5,8.41,42.4,1.2035,393479.0
2005-07-16,57.86,21205.6,9943.790039,1277.0,9943.799805,10640.83,8941.0,1061.0,2.168,0.9675,9983.5,10698.07,1.214,-0.6,9920.5,10559.46,1.2012,19422.1,9961.099609,10629.44,1.2085,1783.5,8.41,42.4,1.2035,393479.0
2005-07-17,57.86,21205.6,9943.790039,1277.0,9943.799805,10640.83,8941.0,1061.0,2.168,0.9675,9983.5,10698.07,1.214,-0.6,9920.5,10559.46,1.2012,19422.1,9961.099609,10629.44,1.2085,1783.5,8.41,42.4,1.2035,393479.0
2005-07-18,57.86,21205.6,9960.990234,1277.0,9961.0,10574.99,8941.0,1061.0,2.168,0.9675,9981.599609,10681.99,1.209,-0.6,9927.5,10533.59,1.2021,19422.1,9944.799805,10640.19,1.2022,1783.5,8.41,42.4,1.2054,393479.0
2005-07-19,57.86,21205.6,10044.990234,1277.0,10045.0,10646.56,8941.0,1061.0,2.168,0.9675,10045.0,10718.69,1.2068,-0.6,9966.5,10573.0,1.1952,19422.1,9969.200195,10576.9,1.2052,1783.5,8.41,42.4,1.2035,393479.0
2005-07-20,57.86,21205.6,10006.990234,1277.0,10007.0,10689.15,8941.0,1061.0,2.168,0.9675,10037.799805,10726.81,1.2188,-0.6,9982.099609,10535.1,1.1995,19422.1,10016.099609,10629.52,1.2033,1783.5,8.41,42.4,1.2144,393479.0
2005-07-21,57.86,21205.6,10021.490234,1277.0,10021.5,10627.77,8941.0,1061.0,2.168,0.9675,10068.0,10735.33,1.2259,-0.6,9962.900391,10567.98,1.2101,19422.1,10030.400391,10690.03,1.2153,1783.5,8.41,42.4,1.2167,393479.0
2005-07-22,57.86,21205.6,10018.790039,1277.0,10018.799805,10651.18,8941.0,1061.0,2.168,0.9675,10044.5,10702.21,1.2191,-0.6,9998.700195,10552.54,1.2053,19422.1,10010.900391,10624.19,1.2165,1783.5,8.41,42.4,1.2067,393479.0
2005-07-23,57.86,21205.6,10018.790039,1277.0,10018.799805,10651.18,8941.0,1061.0,2.168,0.9675,10044.5,10702.21,1.2191,-0.6,9998.700195,10552.54,1.2053,19422.1,10010.900391,10624.19,1.2165,1783.5,8.41,42.4,1.2067,393479.0
2005-07-24,57.86,21205.6,10018.790039,1277.0,10018.799805,10651.18,8941.0,1061.0,2.168,0.9675,10044.5,10702.21,1.2191,-0.6,9998.700195,10552.54,1.2053,19422.1,10010.900391,10624.19,1.2165,1783.5,8.41,42.4,1.2067,393479.0
