Date,IPC,Open,High,Low,Close,AdjClose,GDP_Value,Euribor,Price_EUR,Open_EUR,High_EUR,Low_EUR,Open_DJ,High_DJ,Low_DJ,Close_DJ,Total_debt,Percentage,Debt_per_capita,Defunciones,Births,Activos,Ocupados,Parados,Actividad(%),Paro(%)
2021-06-27,0.48,9101.0,9107.200195,9034.599609,9095.0,9095.0,2.0936,-0.4839,1.1933,1.1932,1.1976,1.1925,34328.1,34501.02,34314.8,34433.84,1428133.0,116.8,30074.0,1234,924.0,23215.5,19671.7,3543.8,58.58,15.26
2021-06-28,0.48,9075.5,9083.5,8913.700195,8913.700195,8913.700195,2.0936,-0.4839,1.1924,1.1935,1.1946,1.1902,34428.1,34449.65,34186.13,34283.27,1428133.0,116.8,30074.0,1234,924.0,23215.5,19671.7,3543.8,58.58,15.26
2021-06-29,0.48,8897.400391,8957.599609,8884.799805,8915.099609,8915.099609,2.0936,-0.4839,1.1895,1.1926,1.1932,1.1877,34338.89,34469.83,34266.83,34292.29,1428133.0,116.8,30074.0,1234,924.0,23215.5,19671.7,3543.8,58.58,15.26
2021-06-30,0.48,8892.700195,8903.700195,8765.299805,8821.200195,8821.200195,2.0936,-0.4839,1.1855,1.1897,1.191,1.1845,34290.74,34553.16,34245.48,34502.51,1428133.0,116.8,30074.0,1234,924.0,23215.5,19671.7,3543.8,58.58,15.26
2021-07-01,-0.75,8862.299805,8957.799805,8862.200195,8932.299805,8932.299805,2.3187,-0.4907,1.1848,1.1859,1.1885,1.1837,34507.32,34640.28,34498.85,34633.53,1428133.0,116.8,30074.0,1234,924.0,23447.7,20031.0,3416.7,59.14,14.57
2021-07-02,-0.75,8951.700195,8968.099609,8873.599609,8907.599609,8907.599609,2.3187,-0.4907,1.1864,1.1849,1.1875,1.1806,34642.42,34821.93,34613.49,34786.35,1428133.0,116.8,30074.0,1234,924.0,23447.7,20031.0,3416.7,59.14,14.57
2021-07-03,-0.75,8951.700195,8968.099609,8873.599609,8907.599609,8907.599609,2.3187,-0.4907,1.1864,1.1849,1.1875,1.1806,34642.42,34821.93,34613.49,34786.35,1428133.0,116.8,30074.0,1234,924.0,23447.7,20031.0,3416.7,59.14,14.57
2021-07-04,-0.75,8951.700195,8968.099609,8873.599609,8907.599609,8907.599609,2.3187,-0.4907,1.1864,1.1849,1.1875,1.1806,34642.42,34821.93,34613.49,34786.35,1428133.0,116.8,30074.0,1234,924.0,23447.7,20031.0,3416.7,59.14,14.57
2021-07-05,-0.75,8900.5,8965.5,8862.400391,8946.400391,8946.400391,2.3187,-0.4907,1.1861,1.1862,1.1882,1.1851,34642.42,34821.93,34613.49,34786.35,1428133.0,116.8,30074.0,1234,924.0,23447.7,20031.0,3416.7,59.14,14.57
2021-07-06,-0.75,8924.099609,8959.900391,8837.200195,8860.799805,8860.799805,2.3187,-0.4907,1.1822,1.1863,1.1896,1.1806,34790.16,34814.2,34358.42,34577.37,1428133.0,116.8,30074.0,1234,924.0,23447.7,20031.0,3416.7,59.14,14.57
2021-07-07,-0.75,8877.900391,8904.5,8826.0,8854.5,8854.5,2.3187,-0.4907,1.1789,1.1823,1.1839,1.1782,34604.17,34708.78,34435.59,34681.79,1428133.0,116.8,30074.0,1234,924.0,23447.7,20031.0,3416.7,59.14,14.57
2021-07-08,-0.75,8768.099609,8772.900391,8597.799805,8650.099609,8650.099609,2.3187,-0.4907,1.1842,1.1792,1.1868,1.1783,34569.01,34569.01,34145.59,34421.93,1428133.0,116.8,30074.0,1234,924.0,23447.7,20031.0,3416.7,59.14,14.57
2021-07-09,-0.75,8680.799805,8780.700195,8654.5,8776.599609,8776.599609,2.3187,-0.4907,1.1873,1.1844,1.1882,1.1825,34457.51,34893.72,34457.51,34870.16,1428133.0,116.8,30074.0,1234,924.0,23447.7,20031.0,3416.7,59.14,14.57
2021-07-10,-0.75,8680.799805,8780.700195,8654.5,8776.599609,8776.599609,2.3187,-0.4907,1.1873,1.1844,1.1882,1.1825,34457.51,34893.72,34457.51,34870.16,1428133.0,116.8,30074.0,1234,924.0,23447.7,20031.0,3416.7,59.14,14.57
2021-07-11,-0.75,8680.799805,8780.700195,8654.5,8776.599609,8776.599609,2.3187,-0.4907,1.1873,1.1844,1.1882,1.1825,34457.51,34893.72,34457.51,34870.16,1428133.0,116.8,30074.0,1234,924.0,23447.7,20031.0,3416.7,59.14,14.57
